Ep0 10s lossLab=0.3405 trainAcc=0.8780 testAcc=59.58 maxAcc=59.58 Ep0 testAccE=27.42 testF1E=14.92 maxAccE=27.42 maxF1E=14.92 Ep0
Model saved in file: ./saveModel/model-0
Ep1 7s lossLab=0.0623 trainAcc=0.9810 testAcc=94.35 maxAcc=94.35 Ep1 testAccE=26.71 testF1E=13.67 maxAccE=27.42 maxF1E=14.92 Ep0
Ep2 7s lossLab=0.1083 trainAcc=0.9728 testAcc=97.18 maxAcc=97.18 Ep2 testAccE=27.12 testF1E=14.27 maxAccE=27.42 maxF1E=14.92 Ep0
Ep3 7s lossLab=0.0532 trainAcc=0.9834 testAcc=98.39 maxAcc=98.39 Ep3 testAccE=29.33 testF1E=17.58 maxAccE=29.33 maxF1E=17.58 Ep3
Ep4 7s lossLab=0.0357 trainAcc=0.9914 testAcc=91.94 maxAcc=98.39 Ep3 testAccE=32.46 testF1E=22.26 maxAccE=32.46 maxF1E=22.26 Ep4
Ep5 7s lossLab=0.0320 trainAcc=0.9920 testAcc=98.49 maxAcc=98.49 Ep5 testAccE=38.10 testF1E=29.86 maxAccE=38.10 maxF1E=29.86 Ep5
Ep6 7s lossLab=0.1011 trainAcc=0.9712 testAcc=98.99 maxAcc=98.99 Ep6 testAccE=43.15 testF1E=36.05 maxAccE=43.15 maxF1E=36.05 Ep6
Ep7 7s lossLab=0.0325 trainAcc=0.9904 testAcc=98.89 maxAcc=98.99 Ep6 testAccE=46.17 testF1E=37.72 maxAccE=46.17 maxF1E=37.72 Ep7
Ep8 7s lossLab=0.0281 trainAcc=0.9898 testAcc=98.08 maxAcc=98.99 Ep6 testAccE=48.69 testF1E=38.90 maxAccE=48.69 maxF1E=38.90 Ep8
Ep9 7s lossLab=0.0263 trainAcc=0.9912 testAcc=98.79 maxAcc=98.99 Ep6 testAccE=49.70 testF1E=39.23 maxAccE=49.70 maxF1E=39.23 Ep9
Ep10 7s lossLab=0.0218 trainAcc=0.9938 testAcc=98.99 maxAcc=98.99 Ep6 testAccE=52.32 testF1E=41.63 maxAccE=52.32 maxF1E=41.63 Ep10
Ep11 7s lossLab=0.0362 trainAcc=0.9886 testAcc=97.68 maxAcc=98.99 Ep6 testAccE=53.53 testF1E=43.63 maxAccE=53.53 maxF1E=43.63 Ep11
Ep12 7s lossLab=0.0270 trainAcc=0.9912 testAcc=94.86 maxAcc=98.99 Ep6 testAccE=54.64 testF1E=45.06 maxAccE=54.64 maxF1E=45.06 Ep12
Ep13 7s lossLab=0.0220 trainAcc=0.9936 testAcc=98.69 maxAcc=98.99 Ep6 testAccE=55.65 testF1E=46.84 maxAccE=55.65 maxF1E=46.84 Ep13
