Ep0 10s lossLab=0.3983 trainAcc=0.8442 testAcc=27.32 maxAcc=27.32 Ep0 testAccE=24.90 testF1E=11.24 maxAccE=24.90 maxF1E=11.24 Ep0
Model saved in file: ./saveModel/model-0
Ep1 7s lossLab=0.0802 trainAcc=0.9774 testAcc=32.46 maxAcc=32.46 Ep1 testAccE=24.90 testF1E=11.01 maxAccE=24.90 maxF1E=11.24 Ep0
Ep2 7s lossLab=0.0680 trainAcc=0.9792 testAcc=31.85 maxAcc=32.46 Ep1 testAccE=25.40 testF1E=11.80 maxAccE=25.40 maxF1E=11.80 Ep2
Ep3 7s lossLab=0.0482 trainAcc=0.9848 testAcc=38.41 maxAcc=38.41 Ep3 testAccE=26.92 testF1E=14.42 maxAccE=26.92 maxF1E=14.42 Ep3
Ep4 7s lossLab=0.0368 trainAcc=0.9890 testAcc=38.91 maxAcc=38.91 Ep4 testAccE=30.44 testF1E=19.89 maxAccE=30.44 maxF1E=19.89 Ep4
Ep5 7s lossLab=0.0536 trainAcc=0.9826 testAcc=43.95 maxAcc=43.95 Ep5 testAccE=33.27 testF1E=22.68 maxAccE=33.27 maxF1E=22.68 Ep5
Ep6 7s lossLab=0.0487 trainAcc=0.9854 testAcc=49.40 maxAcc=49.40 Ep6 testAccE=38.00 testF1E=26.66 maxAccE=38.00 maxF1E=26.66 Ep6
Ep7 7s lossLab=0.0278 trainAcc=0.9918 testAcc=73.08 maxAcc=73.08 Ep7 testAccE=43.55 testF1E=31.98 maxAccE=43.55 maxF1E=31.98 Ep7
Ep8 7s lossLab=0.0393 trainAcc=0.9882 testAcc=34.07 maxAcc=73.08 Ep7 testAccE=49.29 testF1E=38.07 maxAccE=49.29 maxF1E=38.07 Ep8
Ep9 7s lossLab=0.0238 trainAcc=0.9928 testAcc=47.68 maxAcc=73.08 Ep7 testAccE=26.21 testF1E=13.22 maxAccE=49.29 maxF1E=38.07 Ep8
Ep10 7s lossLab=0.0257 trainAcc=0.9916 testAcc=31.75 maxAcc=73.08 Ep7 testAccE=26.71 testF1E=14.05 maxAccE=49.29 maxF1E=38.07 Ep8
Ep11 7s lossLab=0.0266 trainAcc=0.9924 testAcc=37.00 maxAcc=73.08 Ep7 testAccE=26.71 testF1E=14.05 maxAccE=49.29 maxF1E=38.07 Ep8
Ep12 7s lossLab=0.0199 trainAcc=0.9932 testAcc=74.09 maxAcc=74.09 Ep12 testAccE=27.12 testF1E=14.74 maxAccE=49.29 maxF1E=38.07 Ep8
Ep13 7s lossLab=0.0366 trainAcc=0.9884 testAcc=43.15 maxAcc=74.09 Ep12 testAccE=27.82 testF1E=15.86 maxAccE=49.29 maxF1E=38.07 Ep8
Ep14 7s lossLab=0.0204 trainAcc=0.9932 testAcc=64.72 maxAcc=74.09 Ep12 testAccE=28.33 testF1E=16.77 maxAccE=49.29 maxF1E=38.07 Ep8
Ep15 7s lossLab=0.0157 trainAcc=0.9944 testAcc=56.75 maxAcc=74.09 Ep12 testAccE=29.13 testF1E=18.03 maxAccE=49.29 maxF1E=38.07 Ep8
Ep16 7s lossLab=0.0290 trainAcc=0.9916 testAcc=42.74 maxAcc=74.09 Ep12 testAccE=29.54 testF1E=18.62 maxAccE=49.29 maxF1E=38.07 Ep8
Ep17 7s lossLab=0.0219 trainAcc=0.9930 testAcc=27.22 maxAcc=74.09 Ep12 testAccE=30.65 testF1E=20.38 maxAccE=49.29 maxF1E=38.07 Ep8
Ep18 7s lossLab=0.0103 trainAcc=0.9964 testAcc=35.69 maxAcc=74.09 Ep12 testAccE=31.45 testF1E=21.63 maxAccE=49.29 maxF1E=38.07 Ep8
Ep19 7s lossLab=0.0231 trainAcc=0.9932 testAcc=33.97 maxAcc=74.09 Ep12 testAccE=32.66 testF1E=23.46 maxAccE=49.29 maxF1E=38.07 Ep8
Ep20 7s lossLab=0.0163 trainAcc=0.9946 testAcc=85.48 maxAcc=85.48 Ep20 testAccE=33.47 testF1E=24.77 maxAccE=49.29 maxF1E=38.07 Ep8
Ep21 7s lossLab=0.0064 trainAcc=0.9988 testAcc=60.79 maxAcc=85.48 Ep20 testAccE=35.18 testF1E=27.14 maxAccE=49.29 maxF1E=38.07 Ep8
Ep22 7s lossLab=0.0355 trainAcc=0.9900 testAcc=57.76 maxAcc=85.48 Ep20 testAccE=36.29 testF1E=28.70 maxAccE=49.29 maxF1E=38.07 Ep8
Ep23 7s lossLab=0.0095 trainAcc=0.9978 testAcc=89.52 maxAcc=89.52 Ep23 testAccE=37.10 testF1E=29.78 maxAccE=49.29 maxF1E=38.07 Ep8
Ep24 7s lossLab=0.0093 trainAcc=0.9986 testAcc=52.72 maxAcc=89.52 Ep23 testAccE=39.62 testF1E=33.06 maxAccE=49.29 maxF1E=38.07 Ep8
Ep25 7s lossLab=0.0056 trainAcc=0.9988 testAcc=55.75 maxAcc=89.52 Ep23 testAccE=41.63 testF1E=35.52 maxAccE=49.29 maxF1E=38.07 Ep8
Ep26 7s lossLab=0.0621 trainAcc=0.9860 testAcc=35.58 maxAcc=89.52 Ep23 testAccE=42.64 testF1E=36.78 maxAccE=49.29 maxF1E=38.07 Ep8
Ep27 7s lossLab=0.0105 trainAcc=0.9960 testAcc=76.81 maxAcc=89.52 Ep23 testAccE=43.85 testF1E=38.09 maxAccE=49.29 maxF1E=38.07 Ep8
Ep28 7s lossLab=0.0034 trainAcc=0.9998 testAcc=59.48 maxAcc=89.52 Ep23 testAccE=45.16 testF1E=39.74 maxAccE=49.29 maxF1E=38.07 Ep8
Ep29 7s lossLab=0.0023 trainAcc=0.9994 testAcc=59.17 maxAcc=89.52 Ep23 testAccE=47.38 testF1E=42.39 maxAccE=49.29 maxF1E=38.07 Ep8
Ep30 7s lossLab=0.0055 trainAcc=0.9986 testAcc=80.04 maxAcc=89.52 Ep23 testAccE=48.99 testF1E=44.10 maxAccE=49.29 maxF1E=38.07 Ep8
