Ep0 10s lossLab=0.4635 trainAcc=0.8169 testAcc=27.42 maxAcc=27.42 Ep0 testAccE=26.61 testF1E=18.79 maxAccE=26.61 maxF1E=18.79 Ep0
Model saved in file: ./saveModel/model-0
Ep1 7s lossLab=0.0883 trainAcc=0.9744 testAcc=33.97 maxAcc=33.97 Ep1 testAccE=42.84 testF1E=35.04 maxAccE=42.84 maxF1E=35.04 Ep1
Ep2 7s lossLab=0.0610 trainAcc=0.9816 testAcc=40.42 maxAcc=40.42 Ep2 testAccE=33.37 testF1E=23.48 maxAccE=42.84 maxF1E=35.04 Ep1
Ep3 7s lossLab=0.0780 trainAcc=0.9786 testAcc=44.05 maxAcc=44.05 Ep3 testAccE=30.04 testF1E=19.27 maxAccE=42.84 maxF1E=35.04 Ep1
Ep4 7s lossLab=0.0449 trainAcc=0.9852 testAcc=25.81 maxAcc=44.05 Ep3 testAccE=31.96 testF1E=22.34 maxAccE=42.84 maxF1E=35.04 Ep1
Ep5 7s lossLab=0.0387 trainAcc=0.9884 testAcc=25.00 maxAcc=44.05 Ep3 testAccE=34.68 testF1E=25.11 maxAccE=42.84 maxF1E=35.04 Ep1
Ep6 7s lossLab=0.0316 trainAcc=0.9890 testAcc=28.33 maxAcc=44.05 Ep3 testAccE=37.30 testF1E=26.41 maxAccE=42.84 maxF1E=35.04 Ep1
Ep7 7s lossLab=0.0324 trainAcc=0.9894 testAcc=40.93 maxAcc=44.05 Ep3 testAccE=43.04 testF1E=31.28 maxAccE=43.04 maxF1E=31.28 Ep7
Ep8 7s lossLab=0.0294 trainAcc=0.9916 testAcc=27.22 maxAcc=44.05 Ep3 testAccE=49.50 testF1E=38.28 maxAccE=49.50 maxF1E=38.28 Ep8
Ep9 7s lossLab=0.0600 trainAcc=0.9820 testAcc=30.04 maxAcc=44.05 Ep3 testAccE=25.40 testF1E=11.85 maxAccE=49.50 maxF1E=38.28 Ep8
Ep10 7s lossLab=0.0223 trainAcc=0.9930 testAcc=29.13 maxAcc=44.05 Ep3 testAccE=25.20 testF1E=11.55 maxAccE=49.50 maxF1E=38.28 Ep8
Ep11 7s lossLab=0.0470 trainAcc=0.9872 testAcc=27.92 maxAcc=44.05 Ep3 testAccE=25.20 testF1E=11.55 maxAccE=49.50 maxF1E=38.28 Ep8
Ep12 7s lossLab=0.0299 trainAcc=0.9896 testAcc=38.91 maxAcc=44.05 Ep3 testAccE=25.20 testF1E=11.55 maxAccE=49.50 maxF1E=38.28 Ep8
Ep13 7s lossLab=0.0142 trainAcc=0.9954 testAcc=32.86 maxAcc=44.05 Ep3 testAccE=25.20 testF1E=11.55 maxAccE=49.50 maxF1E=38.28 Ep8
Ep14 7s lossLab=0.0314 trainAcc=0.9910 testAcc=44.56 maxAcc=44.56 Ep14 testAccE=25.20 testF1E=11.55 maxAccE=49.50 maxF1E=38.28 Ep8
Ep15 7s lossLab=0.0273 trainAcc=0.9908 testAcc=50.60 maxAcc=50.60 Ep15 testAccE=25.20 testF1E=11.55 maxAccE=49.50 maxF1E=38.28 Ep8
Ep16 7s lossLab=0.0159 trainAcc=0.9954 testAcc=34.98 maxAcc=50.60 Ep15 testAccE=25.20 testF1E=11.55 maxAccE=49.50 maxF1E=38.28 Ep8
Ep17 7s lossLab=0.0485 trainAcc=0.9866 testAcc=37.00 maxAcc=50.60 Ep15 testAccE=25.30 testF1E=11.72 maxAccE=49.50 maxF1E=38.28 Ep8
Ep18 7s lossLab=0.0234 trainAcc=0.9930 testAcc=27.62 maxAcc=50.60 Ep15 testAccE=25.50 testF1E=12.04 maxAccE=49.50 maxF1E=38.28 Ep8
Ep19 7s lossLab=0.0088 trainAcc=0.9978 testAcc=31.65 maxAcc=50.60 Ep15 testAccE=25.71 testF1E=12.39 maxAccE=49.50 maxF1E=38.28 Ep8
Ep20 7s lossLab=0.0125 trainAcc=0.9968 testAcc=30.24 maxAcc=50.60 Ep15 testAccE=25.91 testF1E=12.73 maxAccE=49.50 maxF1E=38.28 Ep8
Ep21 7s lossLab=0.0181 trainAcc=0.9936 testAcc=27.42 maxAcc=50.60 Ep15 testAccE=26.21 testF1E=13.23 maxAccE=49.50 maxF1E=38.28 Ep8
Ep22 7s lossLab=0.0135 trainAcc=0.9962 testAcc=36.29 maxAcc=50.60 Ep15 testAccE=26.71 testF1E=14.06 maxAccE=49.50 maxF1E=38.28 Ep8
Ep23 7s lossLab=0.0184 trainAcc=0.9948 testAcc=35.48 maxAcc=50.60 Ep15 testAccE=26.81 testF1E=14.23 maxAccE=49.50 maxF1E=38.28 Ep8
Ep24 7s lossLab=0.0201 trainAcc=0.9940 testAcc=40.12 maxAcc=50.60 Ep15 testAccE=26.92 testF1E=14.42 maxAccE=49.50 maxF1E=38.28 Ep8
Ep25 7s lossLab=0.0150 trainAcc=0.9942 testAcc=35.28 maxAcc=50.60 Ep15 testAccE=27.32 testF1E=15.03 maxAccE=49.50 maxF1E=38.28 Ep8
Ep26 7s lossLab=0.0068 trainAcc=0.9974 testAcc=41.03 maxAcc=50.60 Ep15 testAccE=27.32 testF1E=15.03 maxAccE=49.50 maxF1E=38.28 Ep8
Ep27 7s lossLab=0.0386 trainAcc=0.9874 testAcc=53.73 maxAcc=53.73 Ep27 testAccE=27.52 testF1E=15.32 maxAccE=49.50 maxF1E=38.28 Ep8
Ep28 7s lossLab=0.0054 trainAcc=0.9984 testAcc=52.32 maxAcc=53.73 Ep27 testAccE=27.62 testF1E=15.49 maxAccE=49.50 maxF1E=38.28 Ep8
