Ep0 4s lossLab=1.2092 trainAcc=0.4768 testAcc=58.33 maxAcc=58.33 Ep0 testAccE=25.00 testF1E=10.93 maxAccE=25.00 maxF1E=10.93 Ep0
Model saved in file: ./saveModel/model-0
Ep1 1s lossLab=0.2651 trainAcc=0.9083 testAcc=69.79 maxAcc=69.79 Ep1 testAccE=25.00 testF1E=10.93 maxAccE=25.00 maxF1E=10.93 Ep0
Ep2 1s lossLab=0.1320 trainAcc=0.9556 testAcc=71.88 maxAcc=71.88 Ep2 testAccE=25.00 testF1E=10.93 maxAccE=25.00 maxF1E=10.93 Ep0
Ep3 1s lossLab=0.0815 trainAcc=0.9788 testAcc=68.75 maxAcc=71.88 Ep2 testAccE=26.56 testF1E=13.42 maxAccE=26.56 maxF1E=13.42 Ep3
Ep4 1s lossLab=0.0492 trainAcc=0.9829 testAcc=66.67 maxAcc=71.88 Ep2 testAccE=41.15 testF1E=31.35 maxAccE=41.15 maxF1E=31.35 Ep4
Ep5 1s lossLab=0.0896 trainAcc=0.9718 testAcc=64.58 maxAcc=71.88 Ep2 testAccE=48.44 testF1E=37.30 maxAccE=48.44 maxF1E=37.30 Ep5
Ep6 1s lossLab=0.0543 trainAcc=0.9849 testAcc=61.98 maxAcc=71.88 Ep2 testAccE=48.96 testF1E=37.31 maxAccE=48.96 maxF1E=37.31 Ep6
Ep7 1s lossLab=0.0345 trainAcc=0.9889 testAcc=68.23 maxAcc=71.88 Ep2 testAccE=47.92 testF1E=36.44 maxAccE=48.96 maxF1E=37.31 Ep6
Ep8 1s lossLab=0.0192 trainAcc=0.9950 testAcc=68.23 maxAcc=71.88 Ep2 testAccE=45.83 testF1E=34.46 maxAccE=48.96 maxF1E=37.31 Ep6
Ep9 1s lossLab=0.3860 trainAcc=0.9315 testAcc=48.44 maxAcc=71.88 Ep2 testAccE=44.79 testF1E=33.06 maxAccE=48.96 maxF1E=37.31 Ep6
Ep10 1s lossLab=0.0900 trainAcc=0.9688 testAcc=62.50 maxAcc=71.88 Ep2 testAccE=44.27 testF1E=32.53 maxAccE=48.96 maxF1E=37.31 Ep6
Ep11 1s lossLab=0.0529 trainAcc=0.9839 testAcc=35.42 maxAcc=71.88 Ep2 testAccE=42.71 testF1E=31.00 maxAccE=48.96 maxF1E=37.31 Ep6
Ep12 1s lossLab=0.0352 trainAcc=0.9899 testAcc=40.10 maxAcc=71.88 Ep2 testAccE=41.15 testF1E=29.30 maxAccE=48.96 maxF1E=37.31 Ep6
Ep13 1s lossLab=0.0945 trainAcc=0.9677 testAcc=59.38 maxAcc=71.88 Ep2 testAccE=39.58 testF1E=27.72 maxAccE=48.96 maxF1E=37.31 Ep6
Ep14 1s lossLab=0.0379 trainAcc=0.9909 testAcc=60.42 maxAcc=71.88 Ep2 testAccE=39.58 testF1E=27.68 maxAccE=48.96 maxF1E=37.31 Ep6
Ep15 1s lossLab=0.0322 trainAcc=0.9909 testAcc=55.21 maxAcc=71.88 Ep2 testAccE=39.06 testF1E=26.96 maxAccE=48.96 maxF1E=37.31 Ep6
Ep16 1s lossLab=0.0201 trainAcc=0.9950 testAcc=47.92 maxAcc=71.88 Ep2 testAccE=38.02 testF1E=25.99 maxAccE=48.96 maxF1E=37.31 Ep6
Ep17 1s lossLab=0.0149 trainAcc=0.9970 testAcc=46.88 maxAcc=71.88 Ep2 testAccE=36.46 testF1E=24.18 maxAccE=48.96 maxF1E=37.31 Ep6
Ep18 1s lossLab=0.0024 trainAcc=1.0000 testAcc=46.35 maxAcc=71.88 Ep2 testAccE=35.94 testF1E=23.83 maxAccE=48.96 maxF1E=37.31 Ep6
Ep19 1s lossLab=0.0020 trainAcc=1.0000 testAcc=46.88 maxAcc=71.88 Ep2 testAccE=35.42 testF1E=23.63 maxAccE=48.96 maxF1E=37.31 Ep6
Ep20 1s lossLab=0.0004 trainAcc=1.0000 testAcc=44.27 maxAcc=71.88 Ep2 testAccE=33.85 testF1E=22.54 maxAccE=48.96 maxF1E=37.31 Ep6
Ep21 1s lossLab=0.0003 trainAcc=1.0000 testAcc=44.27 maxAcc=71.88 Ep2 testAccE=33.85 testF1E=22.56 maxAccE=48.96 maxF1E=37.31 Ep6
Ep22 1s lossLab=0.0002 trainAcc=1.0000 testAcc=44.27 maxAcc=71.88 Ep2 testAccE=33.33 testF1E=22.09 maxAccE=48.96 maxF1E=37.31 Ep6
Ep23 1s lossLab=0.0002 trainAcc=1.0000 testAcc=45.83 maxAcc=71.88 Ep2 testAccE=33.33 testF1E=22.08 maxAccE=48.96 maxF1E=37.31 Ep6
Ep24 1s lossLab=0.0002 trainAcc=1.0000 testAcc=45.83 maxAcc=71.88 Ep2 testAccE=33.85 testF1E=23.05 maxAccE=48.96 maxF1E=37.31 Ep6
Ep25 1s lossLab=0.0001 trainAcc=1.0000 testAcc=45.31 maxAcc=71.88 Ep2 testAccE=34.90 testF1E=25.00 maxAccE=48.96 maxF1E=37.31 Ep6
Ep26 1s lossLab=0.0001 trainAcc=1.0000 testAcc=45.83 maxAcc=71.88 Ep2 testAccE=34.90 testF1E=25.03 maxAccE=48.96 maxF1E=37.31 Ep6
Ep27 1s lossLab=0.0001 trainAcc=1.0000 testAcc=45.83 maxAcc=71.88 Ep2 testAccE=35.94 testF1E=26.19 maxAccE=48.96 maxF1E=37.31 Ep6
Ep28 1s lossLab=0.0001 trainAcc=1.0000 testAcc=45.31 maxAcc=71.88 Ep2 testAccE=36.46 testF1E=26.95 maxAccE=48.96 maxF1E=37.31 Ep6
Ep29 1s lossLab=0.0001 trainAcc=1.0000 testAcc=45.31 maxAcc=71.88 Ep2 testAccE=36.98 testF1E=27.64 maxAccE=48.96 maxF1E=37.31 Ep6
Ep30 1s lossLab=0.0001 trainAcc=1.0000 testAcc=45.31 maxAcc=71.88 Ep2 testAccE=39.06 testF1E=30.34 maxAccE=48.96 maxF1E=37.31 Ep6
Ep31 1s lossLab=0.0001 trainAcc=1.0000 testAcc=45.31 maxAcc=71.88 Ep2 testAccE=40.10 testF1E=31.49 maxAccE=48.96 maxF1E=37.31 Ep6
Ep32 1s lossLab=0.0001 trainAcc=1.0000 testAcc=45.31 maxAcc=71.88 Ep2 testAccE=41.15 testF1E=32.65 maxAccE=48.96 maxF1E=37.31 Ep6
Ep33 1s lossLab=0.0000 trainAcc=1.0000 testAcc=45.31 maxAcc=71.88 Ep2 testAccE=41.67 testF1E=32.93 maxAccE=48.96 maxF1E=37.31 Ep6
Ep34 1s lossLab=0.0000 trainAcc=1.0000 testAcc=45.31 maxAcc=71.88 Ep2 testAccE=42.19 testF1E=33.15 maxAccE=48.96 maxF1E=37.31 Ep6
