AVG 46.4%

Ep0 4s lossLab=1.5243 trainAcc=0.2729 testAcc=25.00 maxAcc=25.00 Ep0 testAccE=24.48 testF1E=11.47 maxAccE=24.48 maxF1E=11.47 Ep0
Model saved in file: ./saveModel/model-0
Ep1 1s lossLab=1.4152 trainAcc=0.2677 testAcc=32.81 maxAcc=32.81 Ep1 testAccE=25.52 testF1E=11.76 maxAccE=25.52 maxF1E=11.76 Ep1
Ep2 1s lossLab=1.4019 trainAcc=0.2729 testAcc=25.00 maxAcc=32.81 Ep1 testAccE=25.52 testF1E=11.73 maxAccE=25.52 maxF1E=11.76 Ep1
Ep3 1s lossLab=1.3956 trainAcc=0.2917 testAcc=25.00 maxAcc=32.81 Ep1 testAccE=25.52 testF1E=11.70 maxAccE=25.52 maxF1E=11.76 Ep1
Ep4 1s lossLab=1.2856 trainAcc=0.3958 testAcc=32.81 maxAcc=32.81 Ep1 testAccE=25.52 testF1E=11.70 maxAccE=25.52 maxF1E=11.76 Ep1
Ep5 1s lossLab=1.1155 trainAcc=0.5396 testAcc=41.67 maxAcc=41.67 Ep5 testAccE=25.52 testF1E=11.70 maxAccE=25.52 maxF1E=11.76 Ep1
Ep6 1s lossLab=0.8460 trainAcc=0.6687 testAcc=43.23 maxAcc=43.23 Ep6 testAccE=25.52 testF1E=11.70 maxAccE=25.52 maxF1E=11.76 Ep1
Ep7 1s lossLab=0.6162 trainAcc=0.7635 testAcc=44.27 maxAcc=44.27 Ep7 testAccE=25.52 testF1E=11.70 maxAccE=25.52 maxF1E=11.76 Ep1
Ep8 1s lossLab=0.4237 trainAcc=0.8469 testAcc=48.96 maxAcc=48.96 Ep8 testAccE=25.52 testF1E=11.70 maxAccE=25.52 maxF1E=11.76 Ep1
Ep9 1s lossLab=0.3629 trainAcc=0.8833 testAcc=41.15 maxAcc=48.96 Ep8 testAccE=25.52 testF1E=11.70 maxAccE=25.52 maxF1E=11.76 Ep1
Ep10 1s lossLab=0.3164 trainAcc=0.8865 testAcc=29.69 maxAcc=48.96 Ep8 testAccE=25.52 testF1E=11.70 maxAccE=25.52 maxF1E=11.76 Ep1
Ep11 1s lossLab=0.2190 trainAcc=0.9208 testAcc=42.71 maxAcc=48.96 Ep8 testAccE=25.52 testF1E=11.70 maxAccE=25.52 maxF1E=11.76 Ep1
