AVG 90.1%

Ep33 1s lossLab=0.0256 trainAcc=0.9899 testAcc=90.00 maxAcc=93.75 Ep21 testAccE=25.00 testF1E=12.01 maxAccE=25.00 maxF1E=12.08 Ep4
Ep34 1s lossLab=0.0274 trainAcc=0.9919 testAcc=85.62 maxAcc=93.75 Ep21 testAccE=25.00 testF1E=12.01 maxAccE=25.00 maxF1E=12.08 Ep4
Ep35 1s lossLab=0.0429 trainAcc=0.9889 testAcc=90.62 maxAcc=93.75 Ep21 testAccE=25.00 testF1E=12.01 maxAccE=25.00 maxF1E=12.08 Ep4
Ep36 1s lossLab=0.0252 trainAcc=0.9940 testAcc=91.25 maxAcc=93.75 Ep21 testAccE=25.00 testF1E=12.01 maxAccE=25.00 maxF1E=12.08 Ep4
Ep37 1s lossLab=0.0135 trainAcc=0.9960 testAcc=92.50 maxAcc=93.75 Ep21 testAccE=25.00 testF1E=12.01 maxAccE=25.00 maxF1E=12.08 Ep4
Ep38 1s lossLab=0.0182 trainAcc=0.9940 testAcc=92.50 maxAcc=93.75 Ep21 testAccE=25.00 testF1E=12.01 maxAccE=25.00 maxF1E=12.08 Ep4
Ep39 1s lossLab=0.0154 trainAcc=0.9960 testAcc=91.88 maxAcc=93.75 Ep21 testAccE=25.00 testF1E=12.01 maxAccE=25.00 maxF1E=12.08 Ep4
Ep40 1s lossLab=0.0169 trainAcc=0.9940 testAcc=83.12 maxAcc=93.75 Ep21 testAccE=25.00 testF1E=12.01 maxAccE=25.00 maxF1E=12.08 Ep4
Ep41 1s lossLab=0.2770 trainAcc=0.8962 testAcc=86.88 maxAcc=93.75 Ep21 testAccE=25.00 testF1E=12.01 maxAccE=25.00 maxF1E=12.08 Ep4
Ep42 1s lossLab=0.1322 trainAcc=0.9536 testAcc=85.00 maxAcc=93.75 Ep21 testAccE=25.00 testF1E=12.01 maxAccE=25.00 maxF1E=12.08 Ep4
Ep43 1s lossLab=0.0334 trainAcc=0.9879 testAcc=90.00 maxAcc=93.75 Ep21 testAccE=25.00 testF1E=12.01 maxAccE=25.00 maxF1E=12.08 Ep4
Ep44 1s lossLab=0.0135 trainAcc=0.9960 testAcc=90.00 maxAcc=93.75 Ep21 testAccE=25.00 testF1E=12.01 maxAccE=25.00 maxF1E=12.08 Ep4
Ep45 1s lossLab=0.0281 trainAcc=0.9940 testAcc=91.88 maxAcc=93.75 Ep21 testAccE=25.00 testF1E=12.01 maxAccE=25.00 maxF1E=12.08 Ep4
Ep46 1s lossLab=0.0114 trainAcc=0.9960 testAcc=90.62 maxAcc=93.75 Ep21 testAccE=25.00 testF1E=12.01 maxAccE=25.00 maxF1E=12.08 Ep4
Ep47 1s lossLab=0.0102 trainAcc=0.9970 testAcc=91.88 maxAcc=93.75 Ep21 testAccE=25.00 testF1E=12.01 maxAccE=25.00 maxF1E=12.08 Ep4
Ep48 1s lossLab=0.0241 trainAcc=0.9919 testAcc=90.62 maxAcc=93.75 Ep21 testAccE=25.00 testF1E=12.01 maxAccE=25.00 maxF1E=12.08 Ep4
Ep49 1s lossLab=0.0243 trainAcc=0.9950 testAcc=91.25 maxAcc=93.75 Ep21 testAccE=25.00 testF1E=12.01 maxAccE=25.00 maxF1E=12.08 Ep4
Ep50 1s lossLab=0.0171 trainAcc=0.9960 testAcc=90.62 maxAcc=93.75 Ep21 testAccE=25.00 testF1E=12.01 maxAccE=25.00 maxF1E=12.08 Ep4
Model saved in file: ./saveModel/model-50
Ep51 1s lossLab=0.0208 trainAcc=0.9960 testAcc=91.25 maxAcc=93.75 Ep21 testAccE=25.00 testF1E=12.01 maxAccE=25.00 maxF1E=12.08 Ep4
Ep52 1s lossLab=0.0120 trainAcc=0.9970 testAcc=91.88 maxAcc=93.75 Ep21 testAccE=25.00 testF1E=12.01 maxAccE=25.00 maxF1E=12.08 Ep4
Ep53 1s lossLab=0.0135 trainAcc=0.9960 testAcc=91.25 maxAcc=93.75 Ep21 testAccE=25.00 testF1E=12.01 maxAccE=25.00 maxF1E=12.08 Ep4
Ep54 1s lossLab=0.1193 trainAcc=0.9597 testAcc=72.50 maxAcc=93.75 Ep21 testAccE=25.62 testF1E=13.02 maxAccE=25.62 maxF1E=13.02 Ep54
Ep55 1s lossLab=0.2770 trainAcc=0.9042 testAcc=88.75 maxAcc=93.75 Ep21 testAccE=25.62 testF1E=13.02 maxAccE=25.62 maxF1E=13.02 Ep55
Ep56 1s lossLab=0.0333 trainAcc=0.9909 testAcc=91.25 maxAcc=93.75 Ep21 testAccE=25.62 testF1E=13.02 maxAccE=25.62 maxF1E=13.02 Ep56
Ep57 1s lossLab=0.0289 trainAcc=0.9909 testAcc=92.50 maxAcc=93.75 Ep21 testAccE=25.62 testF1E=13.02 maxAccE=25.62 maxF1E=13.02 Ep57
Ep58 1s lossLab=0.0180 trainAcc=0.9950 testAcc=92.50 maxAcc=93.75 Ep21 testAccE=25.62 testF1E=13.02 maxAccE=25.62 maxF1E=13.02 Ep58
Ep59 1s lossLab=0.0216 trainAcc=0.9950 testAcc=88.75 maxAcc=93.75 Ep21 testAccE=25.62 testF1E=13.02 maxAccE=25.62 maxF1E=13.02 Ep59
Ep60 1s lossLab=0.0120 trainAcc=0.9950 testAcc=91.25 maxAcc=93.75 Ep21 testAccE=25.62 testF1E=13.02 maxAccE=25.62 maxF1E=13.02 Ep60
Ep61 1s lossLab=0.0167 trainAcc=0.9970 testAcc=91.25 maxAcc=93.75 Ep21 testAccE=25.62 testF1E=13.02 maxAccE=25.62 maxF1E=13.02 Ep61
Ep62 1s lossLab=0.0163 trainAcc=0.9940 testAcc=91.25 maxAcc=93.75 Ep21 testAccE=26.25 testF1E=14.12 maxAccE=26.25 maxF1E=14.12 Ep62
Ep63 1s lossLab=0.0153 trainAcc=0.9950 testAcc=91.88 maxAcc=93.75 Ep21 testAccE=26.25 testF1E=14.12 maxAccE=26.25 maxF1E=14.12 Ep63
Ep64 1s lossLab=0.0156 trainAcc=0.9940 testAcc=91.25 maxAcc=93.75 Ep21 testAccE=26.88 testF1E=15.17 maxAccE=26.88 maxF1E=15.17 Ep64
