AVG 34.9%

Ep0 10s lossLab=0.3363 trainAcc=0.8760 testAcc=45.67 maxAcc=45.67 Ep0 testAccE=30.34 testF1E=23.53 maxAccE=30.34 maxF1E=23.53 Ep0
Model saved in file: ./saveModel/model-0
Ep1 7s lossLab=0.0726 trainAcc=0.9778 testAcc=36.19 maxAcc=45.67 Ep0 testAccE=45.97 testF1E=33.37 maxAccE=45.97 maxF1E=33.37 Ep1
Ep2 7s lossLab=0.0733 trainAcc=0.9770 testAcc=41.94 maxAcc=45.67 Ep0 testAccE=46.47 testF1E=34.34 maxAccE=46.47 maxF1E=34.34 Ep2
Ep3 7s lossLab=0.0484 trainAcc=0.9846 testAcc=47.38 maxAcc=47.38 Ep3 testAccE=53.33 testF1E=46.18 maxAccE=53.33 maxF1E=46.18 Ep3
Ep4 7s lossLab=0.0480 trainAcc=0.9868 testAcc=29.84 maxAcc=47.38 Ep3 testAccE=57.36 testF1E=51.79 maxAccE=57.36 maxF1E=51.79 Ep4
Ep5 7s lossLab=0.0380 trainAcc=0.9884 testAcc=31.45 maxAcc=47.38 Ep3 testAccE=33.27 testF1E=24.49 maxAccE=57.36 maxF1E=51.79 Ep4
Ep6 7s lossLab=0.0318 trainAcc=0.9894 testAcc=39.72 maxAcc=47.38 Ep3 testAccE=33.06 testF1E=24.09 maxAccE=57.36 maxF1E=51.79 Ep4
Ep7 7s lossLab=0.0369 trainAcc=0.9886 testAcc=37.00 maxAcc=47.38 Ep3 testAccE=32.56 testF1E=23.24 maxAccE=57.36 maxF1E=51.79 Ep4
Ep8 7s lossLab=0.0316 trainAcc=0.9912 testAcc=30.95 maxAcc=47.38 Ep3 testAccE=32.86 testF1E=23.26 maxAccE=57.36 maxF1E=51.79 Ep4
Ep9 7s lossLab=0.0390 trainAcc=0.9880 testAcc=29.94 maxAcc=47.38 Ep3 testAccE=33.37 testF1E=23.63 maxAccE=57.36 maxF1E=51.79 Ep4
Ep10 7s lossLab=0.0237 trainAcc=0.9922 testAcc=37.50 maxAcc=47.38 Ep3 testAccE=33.06 testF1E=23.18 maxAccE=57.36 maxF1E=51.79 Ep4
