AVG 88.8%

Ep0 4s lossLab=1.5088 trainAcc=0.2687 testAcc=25.00 maxAcc=25.00 Ep0 testAccE=20.83 testF1E=16.48 maxAccE=20.83 maxF1E=16.48 Ep0
Model saved in file: ./saveModel/model-0
Ep1 1s lossLab=1.4144 trainAcc=0.2708 testAcc=25.00 maxAcc=25.00 Ep0 testAccE=25.00 testF1E=19.54 maxAccE=25.00 maxF1E=19.54 Ep1
Ep2 1s lossLab=1.4038 trainAcc=0.2760 testAcc=25.00 maxAcc=25.00 Ep0 testAccE=27.08 testF1E=21.80 maxAccE=27.08 maxF1E=21.80 Ep2
Ep3 1s lossLab=1.4013 trainAcc=0.2625 testAcc=24.48 maxAcc=25.00 Ep0 testAccE=27.60 testF1E=23.11 maxAccE=27.60 maxF1E=23.11 Ep3
Ep4 1s lossLab=1.3994 trainAcc=0.2469 testAcc=25.52 maxAcc=25.52 Ep4 testAccE=28.12 testF1E=24.77 maxAccE=28.12 maxF1E=24.77 Ep4
Ep5 1s lossLab=1.4227 trainAcc=0.2458 testAcc=25.52 maxAcc=25.52 Ep4 testAccE=27.60 testF1E=23.88 maxAccE=28.12 maxF1E=24.77 Ep4
Ep6 1s lossLab=1.3965 trainAcc=0.2521 testAcc=27.60 maxAcc=27.60 Ep6 testAccE=27.08 testF1E=23.34 maxAccE=28.12 maxF1E=24.77 Ep4
Ep7 1s lossLab=1.4128 trainAcc=0.2948 testAcc=25.00 maxAcc=27.60 Ep6 testAccE=23.44 testF1E=19.33 maxAccE=28.12 maxF1E=24.77 Ep4
Ep8 1s lossLab=1.3599 trainAcc=0.2875 testAcc=45.31 maxAcc=45.31 Ep8 testAccE=24.48 testF1E=19.35 maxAccE=28.12 maxF1E=24.77 Ep4
Ep9 1s lossLab=1.1528 trainAcc=0.5042 testAcc=59.38 maxAcc=59.38 Ep9 testAccE=27.60 testF1E=18.25 maxAccE=28.12 maxF1E=24.77 Ep4
Ep10 1s lossLab=0.8830 trainAcc=0.6323 testAcc=69.79 maxAcc=69.79 Ep10 testAccE=27.60 testF1E=16.40 maxAccE=28.12 maxF1E=24.77 Ep4
Ep11 1s lossLab=0.6979 trainAcc=0.7219 testAcc=74.48 maxAcc=74.48 Ep11 testAccE=24.48 testF1E=11.86 maxAccE=28.12 maxF1E=24.77 Ep4
Ep12 1s lossLab=0.5708 trainAcc=0.7656 testAcc=71.88 maxAcc=74.48 Ep11 testAccE=25.52 testF1E=12.22 maxAccE=28.12 maxF1E=24.77 Ep4
Ep13 1s lossLab=0.4180 trainAcc=0.8385 testAcc=77.60 maxAcc=77.60 Ep13 testAccE=25.52 testF1E=12.21 maxAccE=28.12 maxF1E=24.77 Ep4
Ep14 1s lossLab=0.3867 trainAcc=0.8479 testAcc=83.33 maxAcc=83.33 Ep14 testAccE=25.00 testF1E=11.91 maxAccE=28.12 maxF1E=24.77 Ep4
Ep15 1s lossLab=0.2994 trainAcc=0.8927 testAcc=88.02 maxAcc=88.02 Ep15 testAccE=25.00 testF1E=11.91 maxAccE=28.12 maxF1E=24.77 Ep4
Ep16 1s lossLab=0.2653 trainAcc=0.8979 testAcc=72.92 maxAcc=88.02 Ep15 testAccE=25.00 testF1E=12.07 maxAccE=28.12 maxF1E=24.77 Ep4
Ep17 1s lossLab=0.1954 trainAcc=0.9250 testAcc=84.38 maxAcc=88.02 Ep15 testAccE=26.04 testF1E=18.61 maxAccE=28.12 maxF1E=24.77 Ep4
Ep18 1s lossLab=0.1841 trainAcc=0.9177 testAcc=84.38 maxAcc=88.02 Ep15 testAccE=28.12 testF1E=19.46 maxAccE=28.12 maxF1E=24.77 Ep4
Ep19 1s lossLab=0.1396 trainAcc=0.9469 testAcc=83.85 maxAcc=88.02 Ep15 testAccE=27.60 testF1E=15.00 maxAccE=28.12 maxF1E=24.77 Ep4
Ep20 1s lossLab=0.1878 trainAcc=0.9292 testAcc=82.29 maxAcc=88.02 Ep15 testAccE=26.04 testF1E=12.56 maxAccE=28.12 maxF1E=24.77 Ep4
Ep21 1s lossLab=0.1256 trainAcc=0.9552 testAcc=78.65 maxAcc=88.02 Ep15 testAccE=26.04 testF1E=12.56 maxAccE=28.12 maxF1E=24.77 Ep4
Ep22 1s lossLab=0.1696 trainAcc=0.9375 testAcc=84.38 maxAcc=88.02 Ep15 testAccE=25.52 testF1E=11.70 maxAccE=28.12 maxF1E=24.77 Ep4
Ep23 1s lossLab=0.0856 trainAcc=0.9677 testAcc=80.73 maxAcc=88.02 Ep15 testAccE=25.52 testF1E=11.70 maxAccE=28.12 maxF1E=24.77 Ep4
Ep24 1s lossLab=0.0520 trainAcc=0.9802 testAcc=86.98 maxAcc=88.02 Ep15 testAccE=25.52 testF1E=11.70 maxAccE=28.12 maxF1E=24.77 Ep4
Ep25 1s lossLab=0.0271 trainAcc=0.9927 testAcc=88.54 maxAcc=88.54 Ep25 testAccE=25.52 testF1E=11.70 maxAccE=28.12 maxF1E=24.77 Ep4
Ep26 1s lossLab=0.0452 trainAcc=0.9844 testAcc=87.50 maxAcc=88.54 Ep25 testAccE=25.52 testF1E=11.70 maxAccE=28.12 maxF1E=24.77 Ep4
Ep27 1s lossLab=0.0291 trainAcc=0.9917 testAcc=88.02 maxAcc=88.54 Ep25 testAccE=25.52 testF1E=11.70 maxAccE=28.12 maxF1E=24.77 Ep4
Ep28 1s lossLab=0.1601 trainAcc=0.9563 testAcc=68.23 maxAcc=88.54 Ep25 testAccE=25.52 testF1E=11.70 maxAccE=28.12 maxF1E=24.77 Ep4
Ep29 1s lossLab=0.9052 trainAcc=0.7948 testAcc=86.46 maxAcc=88.54 Ep25 testAccE=25.52 testF1E=11.70 maxAccE=28.12 maxF1E=24.77 Ep4
Ep30 1s lossLab=0.0975 trainAcc=0.9667 testAcc=84.38 maxAcc=88.54 Ep25 testAccE=25.52 testF1E=11.70 maxAccE=28.12 maxF1E=24.77 Ep4
Ep31 1s lossLab=0.0545 trainAcc=0.9823 testAcc=88.02 maxAcc=88.54 Ep25 testAccE=25.52 testF1E=11.70 maxAccE=28.12 maxF1E=24.77 Ep4
Ep32 1s lossLab=0.0196 trainAcc=0.9958 testAcc=81.25 maxAcc=88.54 Ep25 testAccE=25.52 testF1E=11.70 maxAccE=28.12 maxF1E=24.77 Ep4
Ep33 1s lossLab=0.1213 trainAcc=0.9646 testAcc=88.02 maxAcc=88.54 Ep25 testAccE=25.52 testF1E=11.70 maxAccE=28.12 maxF1E=24.77 Ep4
Ep34 1s lossLab=0.0346 trainAcc=0.9927 testAcc=88.02 maxAcc=88.54 Ep25 testAccE=25.52 testF1E=11.70 maxAccE=28.12 maxF1E=24.77 Ep4
Ep35 1s lossLab=0.0324 trainAcc=0.9938 testAcc=85.42 maxAcc=88.54 Ep25 testAccE=25.52 testF1E=11.70 maxAccE=28.12 maxF1E=24.77 Ep4
Ep36 1s lossLab=0.0279 trainAcc=0.9958 testAcc=90.10 maxAcc=90.10 Ep36 testAccE=25.52 testF1E=11.70 maxAccE=28.12 maxF1E=24.77 Ep4
Ep37 1s lossLab=0.0176 trainAcc=0.9958 testAcc=89.58 maxAcc=90.10 Ep36 testAccE=25.52 testF1E=11.70 maxAccE=28.12 maxF1E=24.77 Ep4
Ep38 1s lossLab=0.0184 trainAcc=0.9958 testAcc=88.02 maxAcc=90.10 Ep36 testAccE=25.52 testF1E=11.70 maxAccE=28.12 maxF1E=24.77 Ep4
Ep39 1s lossLab=0.0172 trainAcc=0.9938 testAcc=89.06 maxAcc=90.10 Ep36 testAccE=25.52 testF1E=11.70 maxAccE=28.12 maxF1E=24.77 Ep4
Ep40 1s lossLab=0.0130 trainAcc=0.9958 testAcc=88.02 maxAcc=90.10 Ep36 testAccE=25.52 testF1E=11.73 maxAccE=28.12 maxF1E=24.77 Ep4
Ep41 1s lossLab=0.0247 trainAcc=0.9948 testAcc=90.10 maxAcc=90.10 Ep36 testAccE=25.52 testF1E=11.73 maxAccE=28.12 maxF1E=24.77 Ep4
Ep42 1s lossLab=0.0228 trainAcc=0.9958 testAcc=85.94 maxAcc=90.10 Ep36 testAccE=25.52 testF1E=11.73 maxAccE=28.12 maxF1E=24.77 Ep4
