AVG 22.92%

Ep0 3s lossLab=28.4136 trainAcc=0.0792 testAcc=20.83 maxAcc=20.83 Ep0 testAccE=10.42 testF1E=3.38 maxAccE=10.42 maxF1E=3.38 Ep0
Model saved in file: ./saveModel/model-0
Ep1 0s lossLab=2.3117 trainAcc=0.1083 testAcc=20.83 maxAcc=20.83 Ep1 testAccE=10.42 testF1E=3.17 maxAccE=10.42 maxF1E=3.17 Ep1
Ep2 0s lossLab=2.2784 trainAcc=0.1667 testAcc=10.42 maxAcc=20.83 Ep1 testAccE=12.50 testF1E=4.27 maxAccE=12.50 maxF1E=4.27 Ep2
Ep3 0s lossLab=2.2694 trainAcc=0.1083 testAcc=10.42 maxAcc=20.83 Ep1 testAccE=12.50 testF1E=4.59 maxAccE=12.50 maxF1E=4.27 Ep2
Ep4 0s lossLab=2.2672 trainAcc=0.1708 testAcc=12.50 maxAcc=20.83 Ep1 testAccE=10.42 testF1E=3.94 maxAccE=12.50 maxF1E=4.27 Ep2
Ep5 0s lossLab=2.2094 trainAcc=0.1667 testAcc=14.58 maxAcc=20.83 Ep1 testAccE=12.50 testF1E=4.61 maxAccE=12.50 maxF1E=4.27 Ep2
Ep6 0s lossLab=2.2492 trainAcc=0.1542 testAcc=10.42 maxAcc=20.83 Ep1 testAccE=16.67 testF1E=6.01 maxAccE=16.67 maxF1E=6.01 Ep6
Ep7 0s lossLab=2.3084 trainAcc=0.0917 testAcc=10.42 maxAcc=20.83 Ep1 testAccE=16.67 testF1E=6.13 maxAccE=16.67 maxF1E=6.01 Ep6
Ep8 0s lossLab=2.2575 trainAcc=0.1542 testAcc=14.58 maxAcc=20.83 Ep1 testAccE=16.67 testF1E=6.30 maxAccE=16.67 maxF1E=6.01 Ep6
Ep9 0s lossLab=2.1722 trainAcc=0.1875 testAcc=27.08 maxAcc=27.08 Ep9 testAccE=16.67 testF1E=7.33 maxAccE=16.67 maxF1E=6.01 Ep6
