AVG 48.0%

Ep33 0s lossLab=0.9058 trainAcc=0.6708 testAcc=43.75 maxAcc=47.92 Ep27 testAccE=14.58 testF1E=7.03 maxAccE=18.75 maxF1E=7.56 Ep19
Ep34 0s lossLab=0.8951 trainAcc=0.6708 testAcc=41.67 maxAcc=47.92 Ep27 testAccE=14.58 testF1E=6.89 maxAccE=18.75 maxF1E=7.56 Ep19
Ep35 0s lossLab=0.8147 trainAcc=0.6917 testAcc=41.67 maxAcc=47.92 Ep27 testAccE=12.50 testF1E=4.81 maxAccE=18.75 maxF1E=7.56 Ep19
Ep36 0s lossLab=1.0028 trainAcc=0.6333 testAcc=31.25 maxAcc=47.92 Ep27 testAccE=12.50 testF1E=4.81 maxAccE=18.75 maxF1E=7.56 Ep19
Ep37 0s lossLab=0.7214 trainAcc=0.7083 testAcc=37.50 maxAcc=47.92 Ep27 testAccE=12.50 testF1E=5.19 maxAccE=18.75 maxF1E=7.56 Ep19
Ep38 0s lossLab=0.7645 trainAcc=0.6958 testAcc=27.08 maxAcc=47.92 Ep27 testAccE=12.50 testF1E=5.19 maxAccE=18.75 maxF1E=7.56 Ep19
Ep39 0s lossLab=0.7120 trainAcc=0.7042 testAcc=45.83 maxAcc=47.92 Ep27 testAccE=10.42 testF1E=2.69 maxAccE=18.75 maxF1E=7.56 Ep19
Ep40 0s lossLab=0.7286 trainAcc=0.6792 testAcc=47.92 maxAcc=47.92 Ep40 testAccE=10.42 testF1E=2.64 maxAccE=18.75 maxF1E=7.56 Ep19
Ep41 0s lossLab=0.5686 trainAcc=0.8083 testAcc=33.33 maxAcc=47.92 Ep40 testAccE=10.42 testF1E=2.66 maxAccE=18.75 maxF1E=7.56 Ep19
Ep42 0s lossLab=0.5162 trainAcc=0.7958 testAcc=50.00 maxAcc=50.00 Ep42 testAccE=10.42 testF1E=2.68 maxAccE=18.75 maxF1E=7.56 Ep19
Ep43 0s lossLab=0.3773 trainAcc=0.8625 testAcc=43.75 maxAcc=50.00 Ep42 testAccE=10.42 testF1E=2.71 maxAccE=18.75 maxF1E=7.56 Ep19
Ep44 0s lossLab=0.3859 trainAcc=0.8500 testAcc=41.67 maxAcc=50.00 Ep42 testAccE=10.42 testF1E=2.71 maxAccE=18.75 maxF1E=7.56 Ep19
Ep45 0s lossLab=2.6457 trainAcc=0.4875 testAcc=39.58 maxAcc=50.00 Ep42 testAccE=10.42 testF1E=2.71 maxAccE=18.75 maxF1E=7.56 Ep19
Ep46 0s lossLab=1.3910 trainAcc=0.4708 testAcc=50.00 maxAcc=50.00 Ep42 testAccE=10.42 testF1E=2.71 maxAccE=18.75 maxF1E=7.56 Ep19
Ep47 0s lossLab=1.1028 trainAcc=0.5500 testAcc=50.00 maxAcc=50.00 Ep42 testAccE=10.42 testF1E=2.71 maxAccE=18.75 maxF1E=7.56 Ep19
Ep48 0s lossLab=0.9078 trainAcc=0.6417 testAcc=50.00 maxAcc=50.00 Ep42 testAccE=10.42 testF1E=2.71 maxAccE=18.75 maxF1E=7.56 Ep19
Ep49 0s lossLab=0.7800 trainAcc=0.7042 testAcc=43.75 maxAcc=50.00 Ep42 testAccE=10.42 testF1E=2.80 maxAccE=18.75 maxF1E=7.56 Ep19
Ep50 0s lossLab=0.6491 trainAcc=0.7083 testAcc=37.50 maxAcc=50.00 Ep42 testAccE=10.42 testF1E=2.80 maxAccE=18.75 maxF1E=7.56 Ep19
Model saved in file: ./saveModel/model-50
Ep51 0s lossLab=0.9137 trainAcc=0.7167 testAcc=35.42 maxAcc=50.00 Ep42 testAccE=10.42 testF1E=2.80 maxAccE=18.75 maxF1E=7.56 Ep19
Ep52 0s lossLab=0.6304 trainAcc=0.7458 testAcc=58.33 maxAcc=58.33 Ep52 testAccE=10.42 testF1E=2.80 maxAccE=18.75 maxF1E=7.56 Ep19
Ep53 0s lossLab=0.4517 trainAcc=0.8042 testAcc=41.67 maxAcc=58.33 Ep52 testAccE=10.42 testF1E=2.80 maxAccE=18.75 maxF1E=7.56 Ep19
Ep54 0s lossLab=0.7807 trainAcc=0.7875 testAcc=50.00 maxAcc=58.33 Ep52 testAccE=10.42 testF1E=2.80 maxAccE=18.75 maxF1E=7.56 Ep19
Ep55 0s lossLab=0.6612 trainAcc=0.8000 testAcc=39.58 maxAcc=58.33 Ep52 testAccE=10.42 testF1E=2.82 maxAccE=18.75 maxF1E=7.56 Ep19
Ep56 0s lossLab=0.3851 trainAcc=0.8458 testAcc=37.50 maxAcc=58.33 Ep52 testAccE=10.42 testF1E=2.82 maxAccE=18.75 maxF1E=7.56 Ep19
Ep57 0s lossLab=0.5548 trainAcc=0.7708 testAcc=47.92 maxAcc=58.33 Ep52 testAccE=10.42 testF1E=2.82 maxAccE=18.75 maxF1E=7.56 Ep19
Ep58 0s lossLab=0.2519 trainAcc=0.9125 testAcc=43.75 maxAcc=58.33 Ep52 testAccE=10.42 testF1E=2.85 maxAccE=18.75 maxF1E=7.56 Ep19
Ep59 0s lossLab=0.2465 trainAcc=0.9000 testAcc=60.42 maxAcc=60.42 Ep59 testAccE=10.42 testF1E=2.85 maxAccE=18.75 maxF1E=7.56 Ep19
Ep60 0s lossLab=0.2337 trainAcc=0.9000 testAcc=35.42 maxAcc=60.42 Ep59 testAccE=10.42 testF1E=2.82 maxAccE=18.75 maxF1E=7.56 Ep19
Ep61 0s lossLab=0.7018 trainAcc=0.7750 testAcc=47.92 maxAcc=60.42 Ep59 testAccE=10.42 testF1E=2.82 maxAccE=18.75 maxF1E=7.56 Ep19
Ep62 0s lossLab=0.4589 trainAcc=0.8500 testAcc=60.42 maxAcc=60.42 Ep59 testAccE=10.42 testF1E=2.82 maxAccE=18.75 maxF1E=7.56 Ep19
Ep63 0s lossLab=0.2271 trainAcc=0.9250 testAcc=43.75 maxAcc=60.42 Ep59 testAccE=10.42 testF1E=2.82 maxAccE=18.75 maxF1E=7.56 Ep19
Ep64 0s lossLab=0.2040 trainAcc=0.9417 testAcc=47.92 maxAcc=60.42 Ep59 testAccE=10.42 testF1E=2.82 maxAccE=18.75 maxF1E=7.56 Ep19
Ep65 0s lossLab=0.1844 trainAcc=0.9292 testAcc=41.67 maxAcc=60.42 Ep59 testAccE=10.42 testF1E=2.82 maxAccE=18.75 maxF1E=7.56 Ep19
Ep66 0s lossLab=0.6788 trainAcc=0.7375 testAcc=45.83 maxAcc=60.42 Ep59 testAccE=10.42 testF1E=2.82 maxAccE=18.75 maxF1E=7.56 Ep19
Ep67 0s lossLab=0.4993 trainAcc=0.8583 testAcc=52.08 maxAcc=60.42 Ep59 testAccE=10.42 testF1E=2.82 maxAccE=18.75 maxF1E=7.56 Ep19
Ep68 0s lossLab=0.8661 trainAcc=0.7625 testAcc=47.92 maxAcc=60.42 Ep59 testAccE=10.42 testF1E=2.82 maxAccE=18.75 maxF1E=7.56 Ep19
Ep69 0s lossLab=0.2838 trainAcc=0.9250 testAcc=41.67 maxAcc=60.42 Ep59 testAccE=10.42 testF1E=2.82 maxAccE=18.75 maxF1E=7.56 Ep19
Ep70 0s lossLab=0.1784 trainAcc=0.9500 testAcc=52.08 maxAcc=60.42 Ep59 testAccE=8.33 testF1E=2.53 maxAccE=18.75 maxF1E=7.56 Ep19
