AVG 60.1%

Ep33 0s lossLab=0.6444 trainAcc=0.7833 testAcc=37.50 maxAcc=58.33 Ep31 testAccE=10.42 testF1E=3.75 maxAccE=16.67 maxF1E=7.05 Ep29
Ep34 0s lossLab=0.6382 trainAcc=0.7917 testAcc=45.83 maxAcc=58.33 Ep31 testAccE=10.42 testF1E=3.58 maxAccE=16.67 maxF1E=7.05 Ep29
Ep35 0s lossLab=1.2538 trainAcc=0.6167 testAcc=37.50 maxAcc=58.33 Ep31 testAccE=10.42 testF1E=3.58 maxAccE=16.67 maxF1E=7.05 Ep29
Ep36 0s lossLab=0.8182 trainAcc=0.6917 testAcc=35.42 maxAcc=58.33 Ep31 testAccE=10.42 testF1E=3.58 maxAccE=16.67 maxF1E=7.05 Ep29
Ep37 0s lossLab=0.5249 trainAcc=0.8250 testAcc=35.42 maxAcc=58.33 Ep31 testAccE=10.42 testF1E=3.58 maxAccE=16.67 maxF1E=7.05 Ep29
Ep38 0s lossLab=0.5738 trainAcc=0.7625 testAcc=50.00 maxAcc=58.33 Ep31 testAccE=10.42 testF1E=3.58 maxAccE=16.67 maxF1E=7.05 Ep29
Ep39 0s lossLab=0.6874 trainAcc=0.7958 testAcc=41.67 maxAcc=58.33 Ep31 testAccE=10.42 testF1E=3.58 maxAccE=16.67 maxF1E=7.05 Ep29
Ep40 0s lossLab=0.2818 trainAcc=0.9375 testAcc=45.83 maxAcc=58.33 Ep31 testAccE=10.42 testF1E=3.58 maxAccE=16.67 maxF1E=7.05 Ep29
Ep41 0s lossLab=0.4135 trainAcc=0.8792 testAcc=37.50 maxAcc=58.33 Ep31 testAccE=10.42 testF1E=3.58 maxAccE=16.67 maxF1E=7.05 Ep29
Ep42 0s lossLab=0.3731 trainAcc=0.8750 testAcc=43.75 maxAcc=58.33 Ep31 testAccE=10.42 testF1E=3.58 maxAccE=16.67 maxF1E=7.05 Ep29
Ep43 0s lossLab=0.2244 trainAcc=0.9333 testAcc=52.08 maxAcc=58.33 Ep31 testAccE=10.42 testF1E=3.58 maxAccE=16.67 maxF1E=7.05 Ep29
Ep44 0s lossLab=2.8733 trainAcc=0.4417 testAcc=10.42 maxAcc=58.33 Ep31 testAccE=10.42 testF1E=3.58 maxAccE=16.67 maxF1E=7.05 Ep29
Ep45 0s lossLab=2.2208 trainAcc=0.2000 testAcc=10.42 maxAcc=58.33 Ep31 testAccE=10.42 testF1E=3.58 maxAccE=16.67 maxF1E=7.05 Ep29
Ep46 0s lossLab=1.9731 trainAcc=0.2542 testAcc=31.25 maxAcc=58.33 Ep31 testAccE=10.42 testF1E=3.58 maxAccE=16.67 maxF1E=7.05 Ep29
Ep47 0s lossLab=1.9073 trainAcc=0.2875 testAcc=27.08 maxAcc=58.33 Ep31 testAccE=10.42 testF1E=3.58 maxAccE=16.67 maxF1E=7.05 Ep29
Ep48 0s lossLab=1.7486 trainAcc=0.3333 testAcc=14.58 maxAcc=58.33 Ep31 testAccE=10.42 testF1E=3.58 maxAccE=16.67 maxF1E=7.05 Ep29
Ep49 0s lossLab=1.7531 trainAcc=0.3625 testAcc=29.17 maxAcc=58.33 Ep31 testAccE=10.42 testF1E=3.58 maxAccE=16.67 maxF1E=7.05 Ep29
Ep50 0s lossLab=1.6435 trainAcc=0.3917 testAcc=27.08 maxAcc=58.33 Ep31 testAccE=10.42 testF1E=3.58 maxAccE=16.67 maxF1E=7.05 Ep29
Model saved in file: ./saveModel/model-50
Ep51 0s lossLab=1.3646 trainAcc=0.5500 testAcc=29.17 maxAcc=58.33 Ep31 testAccE=10.42 testF1E=3.58 maxAccE=16.67 maxF1E=7.05 Ep29
Ep52 0s lossLab=1.4651 trainAcc=0.4958 testAcc=33.33 maxAcc=58.33 Ep31 testAccE=10.42 testF1E=3.58 maxAccE=16.67 maxF1E=7.05 Ep29
Ep53 0s lossLab=1.3794 trainAcc=0.5333 testAcc=33.33 maxAcc=58.33 Ep31 testAccE=10.42 testF1E=3.59 maxAccE=16.67 maxF1E=7.05 Ep29
Ep54 0s lossLab=1.1398 trainAcc=0.6000 testAcc=33.33 maxAcc=58.33 Ep31 testAccE=10.42 testF1E=3.63 maxAccE=16.67 maxF1E=7.05 Ep29
Ep55 0s lossLab=1.1339 trainAcc=0.6042 testAcc=33.33 maxAcc=58.33 Ep31 testAccE=10.42 testF1E=3.63 maxAccE=16.67 maxF1E=7.05 Ep29
Ep56 0s lossLab=1.2278 trainAcc=0.5667 testAcc=37.50 maxAcc=58.33 Ep31 testAccE=10.42 testF1E=3.63 maxAccE=16.67 maxF1E=7.05 Ep29
Ep57 0s lossLab=0.9423 trainAcc=0.6292 testAcc=22.92 maxAcc=58.33 Ep31 testAccE=10.42 testF1E=3.63 maxAccE=16.67 maxF1E=7.05 Ep29
Ep58 0s lossLab=0.8150 trainAcc=0.7000 testAcc=41.67 maxAcc=58.33 Ep31 testAccE=10.42 testF1E=3.65 maxAccE=16.67 maxF1E=7.05 Ep29
Ep59 0s lossLab=1.6304 trainAcc=0.5125 testAcc=47.92 maxAcc=58.33 Ep31 testAccE=10.42 testF1E=3.83 maxAccE=16.67 maxF1E=7.05 Ep29
Ep60 0s lossLab=0.8433 trainAcc=0.6875 testAcc=62.50 maxAcc=62.50 Ep60 testAccE=10.42 testF1E=3.83 maxAccE=16.67 maxF1E=7.05 Ep29
Ep61 0s lossLab=0.8680 trainAcc=0.7083 testAcc=43.75 maxAcc=62.50 Ep60 testAccE=12.50 testF1E=5.05 maxAccE=16.67 maxF1E=7.05 Ep29
Ep62 0s lossLab=1.0164 trainAcc=0.6625 testAcc=41.67 maxAcc=62.50 Ep60 testAccE=14.58 testF1E=6.09 maxAccE=16.67 maxF1E=7.05 Ep29
Ep63 0s lossLab=0.6556 trainAcc=0.7625 testAcc=70.83 maxAcc=70.83 Ep63 testAccE=14.58 testF1E=5.68 maxAccE=16.67 maxF1E=7.05 Ep29
Ep64 0s lossLab=0.7766 trainAcc=0.7417 testAcc=41.67 maxAcc=70.83 Ep63 testAccE=14.58 testF1E=7.43 maxAccE=16.67 maxF1E=7.05 Ep29
Ep65 0s lossLab=0.4881 trainAcc=0.8083 testAcc=50.00 maxAcc=70.83 Ep63 testAccE=12.50 testF1E=5.14 maxAccE=16.67 maxF1E=7.05 Ep29
Ep66 0s lossLab=0.3058 trainAcc=0.8917 testAcc=52.08 maxAcc=70.83 Ep63 testAccE=10.42 testF1E=3.04 maxAccE=16.67 maxF1E=7.05 Ep29
Ep67 0s lossLab=0.4031 trainAcc=0.8417 testAcc=50.00 maxAcc=70.83 Ep63 testAccE=10.42 testF1E=2.43 maxAccE=16.67 maxF1E=7.05 Ep29
Ep68 0s lossLab=0.3800 trainAcc=0.8458 testAcc=27.08 maxAcc=70.83 Ep63 testAccE=10.42 testF1E=2.18 maxAccE=16.67 maxF1E=7.05 Ep29
Ep69 0s lossLab=0.5828 trainAcc=0.8000 testAcc=58.33 maxAcc=70.83 Ep63 testAccE=10.42 testF1E=2.10 maxAccE=16.67 maxF1E=7.05 Ep29
Ep70 0s lossLab=0.1905 trainAcc=0.9292 testAcc=64.58 maxAcc=70.83 Ep63 testAccE=10.42 testF1E=2.10 maxAccE=16.67 maxF1E=7.05 Ep29
Ep71 0s lossLab=0.1354 trainAcc=0.9542 testAcc=56.25 maxAcc=70.83 Ep63 testAccE=10.42 testF1E=2.10 maxAccE=16.67 maxF1E=7.05 Ep29
Ep72 0s lossLab=0.5982 trainAcc=0.8250 testAcc=52.08 maxAcc=70.83 Ep63 testAccE=10.42 testF1E=2.10 maxAccE=16.67 maxF1E=7.05 Ep29
Ep73 0s lossLab=0.1217 trainAcc=0.9750 testAcc=66.67 maxAcc=70.83 Ep63 testAccE=10.42 testF1E=2.10 maxAccE=16.67 maxF1E=7.05 Ep29
Ep74 0s lossLab=0.1253 trainAcc=0.9667 testAcc=60.42 maxAcc=70.83 Ep63 testAccE=10.42 testF1E=2.10 maxAccE=16.67 maxF1E=7.05 Ep29
Ep75 0s lossLab=0.1462 trainAcc=0.9375 testAcc=43.75 maxAcc=70.83 Ep63 testAccE=10.42 testF1E=2.10 maxAccE=16.67 maxF1E=7.05 Ep29
