AVG 72.2%

Ep0 5s lossLab=33.5586 trainAcc=0.1106 testAcc=10.83 maxAcc=10.83 Ep0 testAccE=11.67 testF1E=6.19 maxAccE=11.67 maxF1E=6.19 Ep0
Model saved in file: ./saveModel/model-0
Ep1 2s lossLab=2.4105 trainAcc=0.1114 testAcc=14.58 maxAcc=14.58 Ep1 testAccE=15.00 testF1E=8.76 maxAccE=15.00 maxF1E=8.76 Ep1
Ep2 2s lossLab=2.2560 trainAcc=0.1490 testAcc=16.25 maxAcc=16.25 Ep2 testAccE=13.33 testF1E=6.61 maxAccE=15.00 maxF1E=8.76 Ep1
Ep3 2s lossLab=2.1457 trainAcc=0.1883 testAcc=20.42 maxAcc=20.42 Ep3 testAccE=13.33 testF1E=6.70 maxAccE=15.00 maxF1E=8.76 Ep1
Ep4 2s lossLab=2.0929 trainAcc=0.2300 testAcc=28.33 maxAcc=28.33 Ep4 testAccE=13.75 testF1E=7.80 maxAccE=15.00 maxF1E=8.76 Ep1
Ep5 2s lossLab=1.9227 trainAcc=0.2700 testAcc=14.17 maxAcc=28.33 Ep4 testAccE=12.50 testF1E=6.90 maxAccE=15.00 maxF1E=8.76 Ep1
Ep6 2s lossLab=1.8538 trainAcc=0.2772 testAcc=28.75 maxAcc=28.75 Ep6 testAccE=12.50 testF1E=6.53 maxAccE=15.00 maxF1E=8.76 Ep1
Ep7 2s lossLab=1.7416 trainAcc=0.3181 testAcc=27.92 maxAcc=28.75 Ep6 testAccE=12.92 testF1E=6.66 maxAccE=15.00 maxF1E=8.76 Ep1
Ep8 2s lossLab=1.6432 trainAcc=0.3878 testAcc=35.42 maxAcc=35.42 Ep8 testAccE=13.33 testF1E=6.68 maxAccE=15.00 maxF1E=8.76 Ep1
Ep9 2s lossLab=1.5757 trainAcc=0.4095 testAcc=32.92 maxAcc=35.42 Ep8 testAccE=13.33 testF1E=6.92 maxAccE=15.00 maxF1E=8.76 Ep1
Ep10 2s lossLab=1.5336 trainAcc=0.4231 testAcc=47.08 maxAcc=47.08 Ep10 testAccE=13.75 testF1E=6.85 maxAccE=15.00 maxF1E=8.76 Ep1
Ep11 2s lossLab=1.4475 trainAcc=0.4407 testAcc=37.92 maxAcc=47.08 Ep10 testAccE=15.42 testF1E=10.88 maxAccE=15.42 maxF1E=10.88 Ep11
Ep12 2s lossLab=1.3623 trainAcc=0.4720 testAcc=43.33 maxAcc=47.08 Ep10 testAccE=11.25 testF1E=6.49 maxAccE=15.42 maxF1E=10.88 Ep11
Ep13 2s lossLab=1.3302 trainAcc=0.4896 testAcc=44.58 maxAcc=47.08 Ep10 testAccE=8.33 testF1E=2.44 maxAccE=15.42 maxF1E=10.88 Ep11
Ep14 2s lossLab=1.2298 trainAcc=0.5441 testAcc=46.25 maxAcc=47.08 Ep10 testAccE=9.17 testF1E=2.67 maxAccE=15.42 maxF1E=10.88 Ep11
Ep15 2s lossLab=1.1455 trainAcc=0.5673 testAcc=45.42 maxAcc=47.08 Ep10 testAccE=9.17 testF1E=2.64 maxAccE=15.42 maxF1E=10.88 Ep11
Ep16 2s lossLab=1.1663 trainAcc=0.5801 testAcc=37.92 maxAcc=47.08 Ep10 testAccE=9.17 testF1E=2.64 maxAccE=15.42 maxF1E=10.88 Ep11
Ep17 2s lossLab=1.1712 trainAcc=0.5825 testAcc=49.58 maxAcc=49.58 Ep17 testAccE=9.17 testF1E=2.64 maxAccE=15.42 maxF1E=10.88 Ep11
Ep18 2s lossLab=1.0063 trainAcc=0.6106 testAcc=55.42 maxAcc=55.42 Ep18 testAccE=9.17 testF1E=2.64 maxAccE=15.42 maxF1E=10.88 Ep11
Ep19 2s lossLab=0.8795 trainAcc=0.6859 testAcc=47.92 maxAcc=55.42 Ep18 testAccE=9.17 testF1E=2.64 maxAccE=15.42 maxF1E=10.88 Ep11
Ep20 2s lossLab=0.8383 trainAcc=0.6835 testAcc=57.08 maxAcc=57.08 Ep20 testAccE=9.17 testF1E=2.64 maxAccE=15.42 maxF1E=10.88 Ep11
Ep21 2s lossLab=0.8143 trainAcc=0.7155 testAcc=57.50 maxAcc=57.50 Ep21 testAccE=9.17 testF1E=2.64 maxAccE=15.42 maxF1E=10.88 Ep11
Ep22 2s lossLab=0.7810 trainAcc=0.7043 testAcc=60.00 maxAcc=60.00 Ep22 testAccE=9.17 testF1E=2.64 maxAccE=15.42 maxF1E=10.88 Ep11
Ep23 2s lossLab=0.7724 trainAcc=0.7220 testAcc=56.25 maxAcc=60.00 Ep22 testAccE=7.92 testF1E=2.32 maxAccE=15.42 maxF1E=10.88 Ep11
Ep24 2s lossLab=0.7049 trainAcc=0.7260 testAcc=55.83 maxAcc=60.00 Ep22 testAccE=7.08 testF1E=2.92 maxAccE=15.42 maxF1E=10.88 Ep11
Ep25 2s lossLab=0.5886 trainAcc=0.7949 testAcc=63.75 maxAcc=63.75 Ep25 testAccE=12.08 testF1E=6.01 maxAccE=15.42 maxF1E=10.88 Ep11
Ep26 2s lossLab=0.6469 trainAcc=0.7692 testAcc=55.00 maxAcc=63.75 Ep25 testAccE=10.42 testF1E=3.05 maxAccE=15.42 maxF1E=10.88 Ep11
Ep27 2s lossLab=0.5416 trainAcc=0.8109 testAcc=67.08 maxAcc=67.08 Ep27 testAccE=10.42 testF1E=3.04 maxAccE=15.42 maxF1E=10.88 Ep11
Ep28 2s lossLab=0.5685 trainAcc=0.8053 testAcc=65.42 maxAcc=67.08 Ep27 testAccE=10.42 testF1E=3.04 maxAccE=15.42 maxF1E=10.88 Ep11
