AVG 60.4%

Ep0 9s lossLab=3.7235 trainAcc=0.1086 testAcc=11.33 maxAcc=11.33 Ep0 testAccE=9.00 testF1E=4.02 maxAccE=9.00 maxF1E=4.02 Ep0
Model saved in file: ./saveModel/model-0
Ep1 6s lossLab=2.2942 trainAcc=0.1125 testAcc=13.35 maxAcc=13.35 Ep1 testAccE=8.05 testF1E=4.56 maxAccE=9.00 maxF1E=4.02 Ep0
Ep2 6s lossLab=2.2817 trainAcc=0.1294 testAcc=12.92 maxAcc=13.35 Ep1 testAccE=8.37 testF1E=5.19 maxAccE=9.00 maxF1E=4.02 Ep0
Ep3 6s lossLab=2.2875 trainAcc=0.1200 testAcc=13.03 maxAcc=13.35 Ep1 testAccE=8.90 testF1E=5.17 maxAccE=9.00 maxF1E=4.02 Ep0
Ep4 6s lossLab=2.2880 trainAcc=0.1226 testAcc=10.59 maxAcc=13.35 Ep1 testAccE=10.81 testF1E=5.30 maxAccE=10.81 maxF1E=5.30 Ep4
Ep5 6s lossLab=2.2702 trainAcc=0.1224 testAcc=12.92 maxAcc=13.35 Ep1 testAccE=9.11 testF1E=5.24 maxAccE=10.81 maxF1E=5.30 Ep4
Ep6 6s lossLab=2.2385 trainAcc=0.1467 testAcc=13.88 maxAcc=13.88 Ep6 testAccE=8.58 testF1E=3.29 maxAccE=10.81 maxF1E=5.30 Ep4
Ep7 6s lossLab=2.1346 trainAcc=0.1811 testAcc=15.36 maxAcc=15.36 Ep7 testAccE=10.06 testF1E=2.53 maxAccE=10.81 maxF1E=5.30 Ep4
Ep8 6s lossLab=1.9401 trainAcc=0.2254 testAcc=23.31 maxAcc=23.31 Ep8 testAccE=10.06 testF1E=2.53 maxAccE=10.81 maxF1E=5.30 Ep4
Ep9 6s lossLab=1.7406 trainAcc=0.3300 testAcc=34.75 maxAcc=34.75 Ep9 testAccE=10.06 testF1E=2.53 maxAccE=10.81 maxF1E=5.30 Ep4
Ep10 6s lossLab=1.5285 trainAcc=0.4228 testAcc=42.90 maxAcc=42.90 Ep10 testAccE=10.06 testF1E=2.53 maxAccE=10.81 maxF1E=5.30 Ep4
Ep11 6s lossLab=1.2470 trainAcc=0.5351 testAcc=45.23 maxAcc=45.23 Ep11 testAccE=10.06 testF1E=2.61 maxAccE=10.81 maxF1E=5.30 Ep4
Ep12 6s lossLab=0.9984 trainAcc=0.6279 testAcc=50.95 maxAcc=50.95 Ep12 testAccE=10.06 testF1E=2.61 maxAccE=10.81 maxF1E=5.30 Ep4
Ep13 6s lossLab=0.8190 trainAcc=0.7029 testAcc=48.83 maxAcc=50.95 Ep12 testAccE=10.06 testF1E=2.61 maxAccE=10.81 maxF1E=5.30 Ep4
Ep14 6s lossLab=0.6835 trainAcc=0.7469 testAcc=56.04 maxAcc=56.04 Ep14 testAccE=10.06 testF1E=2.61 maxAccE=10.81 maxF1E=5.30 Ep4
Ep15 6s lossLab=0.5424 trainAcc=0.8050 testAcc=48.94 maxAcc=56.04 Ep14 testAccE=10.28 testF1E=2.94 maxAccE=10.81 maxF1E=5.30 Ep4
Ep16 6s lossLab=0.4673 trainAcc=0.8329 testAcc=49.47 maxAcc=56.04 Ep14 testAccE=13.03 testF1E=6.34 maxAccE=13.03 maxF1E=6.34 Ep16
Ep17 6s lossLab=0.3930 trainAcc=0.8612 testAcc=49.58 maxAcc=56.04 Ep14 testAccE=19.70 testF1E=15.15 maxAccE=19.70 maxF1E=15.15 Ep17
Ep18 6s lossLab=0.3408 trainAcc=0.8776 testAcc=54.45 maxAcc=56.04 Ep14 testAccE=31.78 testF1E=29.21 maxAccE=31.78 maxF1E=29.21 Ep18
Ep19 6s lossLab=0.3226 trainAcc=0.8923 testAcc=55.93 maxAcc=56.04 Ep14 testAccE=41.42 testF1E=39.30 maxAccE=41.42 maxF1E=39.30 Ep19
Ep20 6s lossLab=0.2517 trainAcc=0.9081 testAcc=56.04 maxAcc=56.04 Ep20 testAccE=45.76 testF1E=43.85 maxAccE=45.76 maxF1E=43.85 Ep20
Ep21 6s lossLab=0.2523 trainAcc=0.9156 testAcc=54.34 maxAcc=56.04 Ep20 testAccE=47.78 testF1E=45.92 maxAccE=47.78 maxF1E=45.92 Ep21
Ep22 6s lossLab=0.2251 trainAcc=0.9254 testAcc=56.99 maxAcc=56.99 Ep22 testAccE=47.03 testF1E=44.73 maxAccE=47.78 maxF1E=45.92 Ep21
Ep23 6s lossLab=0.1792 trainAcc=0.9401 testAcc=59.00 maxAcc=59.00 Ep23 testAccE=45.55 testF1E=42.97 maxAccE=47.78 maxF1E=45.92 Ep21
Ep24 6s lossLab=0.1642 trainAcc=0.9458 testAcc=54.13 maxAcc=59.00 Ep23 testAccE=43.86 testF1E=40.88 maxAccE=47.78 maxF1E=45.92 Ep21
Ep25 6s lossLab=0.1563 trainAcc=0.9465 testAcc=53.07 maxAcc=59.00 Ep23 testAccE=43.33 testF1E=39.91 maxAccE=47.78 maxF1E=45.92 Ep21
Ep26 6s lossLab=0.1735 trainAcc=0.9419 testAcc=57.20 maxAcc=59.00 Ep23 testAccE=43.11 testF1E=39.72 maxAccE=47.78 maxF1E=45.92 Ep21
Ep27 6s lossLab=0.1563 trainAcc=0.9526 testAcc=57.31 maxAcc=59.00 Ep23 testAccE=42.80 testF1E=39.74 maxAccE=47.78 maxF1E=45.92 Ep21
Ep28 6s lossLab=0.1231 trainAcc=0.9616 testAcc=59.64 maxAcc=59.64 Ep28 testAccE=42.80 testF1E=39.60 maxAccE=47.78 maxF1E=45.92 Ep21
Ep29 6s lossLab=0.1223 trainAcc=0.9632 testAcc=58.69 maxAcc=59.64 Ep28 testAccE=42.58 testF1E=39.19 maxAccE=47.78 maxF1E=45.92 Ep21
Ep30 6s lossLab=0.0857 trainAcc=0.9726 testAcc=60.28 maxAcc=60.28 Ep30 testAccE=42.80 testF1E=39.25 maxAccE=47.78 maxF1E=45.92 Ep21
Ep31 6s lossLab=0.1381 trainAcc=0.9581 testAcc=58.90 maxAcc=60.28 Ep30 testAccE=43.43 testF1E=40.00 maxAccE=47.78 maxF1E=45.92 Ep21
Ep32 6s lossLab=0.0506 trainAcc=0.9836 testAcc=61.97 maxAcc=61.97 Ep32 testAccE=44.17 testF1E=40.63 maxAccE=47.78 maxF1E=45.92 Ep21
Ep33 6s lossLab=0.1323 trainAcc=0.9583 testAcc=58.16 maxAcc=61.97 Ep32 testAccE=45.13 testF1E=41.38 maxAccE=47.78 maxF1E=45.92 Ep21
Ep34 6s lossLab=0.0112 trainAcc=0.9969 testAcc=61.76 maxAcc=61.97 Ep32 testAccE=45.66 testF1E=41.92 maxAccE=47.78 maxF1E=45.92 Ep21
Ep35 6s lossLab=0.0008 trainAcc=1.0000 testAcc=63.14 maxAcc=63.14 Ep35 testAccE=45.87 testF1E=42.09 maxAccE=47.78 maxF1E=45.92 Ep21
Ep36 6s lossLab=0.1599 trainAcc=0.9513 testAcc=63.45 maxAcc=63.45 Ep36 testAccE=46.19 testF1E=42.56 maxAccE=47.78 maxF1E=45.92 Ep21
Ep37 6s lossLab=0.1081 trainAcc=0.9700 testAcc=54.24 maxAcc=63.45 Ep36 testAccE=47.56 testF1E=44.56 maxAccE=47.78 maxF1E=45.92 Ep21
Ep38 6s lossLab=0.0873 trainAcc=0.9706 testAcc=56.89 maxAcc=63.45 Ep36 testAccE=47.67 testF1E=44.89 maxAccE=47.78 maxF1E=45.92 Ep21
Ep39 6s lossLab=0.0843 trainAcc=0.9748 testAcc=57.94 maxAcc=63.45 Ep36 testAccE=48.94 testF1E=45.99 maxAccE=48.94 maxF1E=45.99 Ep39
Ep40 6s lossLab=0.0221 trainAcc=0.9936 testAcc=45.55 maxAcc=63.45 Ep36 testAccE=50.00 testF1E=46.90 maxAccE=50.00 maxF1E=46.90 Ep40
Ep41 6s lossLab=0.0811 trainAcc=0.9757 testAcc=58.16 maxAcc=63.45 Ep36 testAccE=50.00 testF1E=46.89 maxAccE=50.00 maxF1E=46.90 Ep40
Ep42 6s lossLab=0.0870 trainAcc=0.9765 testAcc=50.32 maxAcc=63.45 Ep36 testAccE=49.89 testF1E=47.00 maxAccE=50.00 maxF1E=46.90 Ep40
Ep43 6s lossLab=0.0796 trainAcc=0.9757 testAcc=60.59 maxAcc=63.45 Ep36 testAccE=50.74 testF1E=48.10 maxAccE=50.74 maxF1E=48.10 Ep43
Ep44 6s lossLab=0.0711 trainAcc=0.9809 testAcc=60.49 maxAcc=63.45 Ep36 testAccE=51.27 testF1E=48.71 maxAccE=51.27 maxF1E=48.71 Ep44
Ep45 6s lossLab=0.0688 trainAcc=0.9770 testAcc=56.36 maxAcc=63.45 Ep36 testAccE=52.22 testF1E=49.58 maxAccE=52.22 maxF1E=49.58 Ep45
Ep46 6s lossLab=0.0036 trainAcc=0.9998 testAcc=59.75 maxAcc=63.45 Ep36 testAccE=52.86 testF1E=49.99 maxAccE=52.86 maxF1E=49.99 Ep46
Ep47 6s lossLab=0.0003 trainAcc=1.0000 testAcc=60.59 maxAcc=63.45 Ep36 testAccE=53.50 testF1E=50.88 maxAccE=53.50 maxF1E=50.88 Ep47
Ep48 6s lossLab=0.0001 trainAcc=1.0000 testAcc=60.06 maxAcc=63.45 Ep36 testAccE=54.03 testF1E=51.88 maxAccE=54.03 maxF1E=51.88 Ep48
Ep49 6s lossLab=0.0001 trainAcc=1.0000 testAcc=60.49 maxAcc=63.45 Ep36 testAccE=54.13 testF1E=52.09 maxAccE=54.13 maxF1E=52.09 Ep49
Ep50 6s lossLab=0.0001 trainAcc=1.0000 testAcc=60.38 maxAcc=63.45 Ep36 testAccE=55.51 testF1E=53.60 maxAccE=55.51 maxF1E=53.60 Ep50
Model saved in file: ./saveModel/model-50
Ep51 6s lossLab=0.0000 trainAcc=1.0000 testAcc=60.38 maxAcc=63.45 Ep36 testAccE=56.14 testF1E=54.48 maxAccE=56.14 maxF1E=54.48 Ep51
Ep52 6s lossLab=0.0000 trainAcc=1.0000 testAcc=60.49 maxAcc=63.45 Ep36 testAccE=56.67 testF1E=55.05 maxAccE=56.67 maxF1E=55.05 Ep52
Ep53 6s lossLab=0.0000 trainAcc=1.0000 testAcc=60.49 maxAcc=63.45 Ep36 testAccE=56.89 testF1E=55.28 maxAccE=56.89 maxF1E=55.28 Ep53
Ep54 6s lossLab=0.0000 trainAcc=1.0000 testAcc=60.28 maxAcc=63.45 Ep36 testAccE=56.99 testF1E=55.52 maxAccE=56.99 maxF1E=55.52 Ep54
