AVG 76.7%

Ep0 6s lossLab=25.6202 trainAcc=0.1050 testAcc=11.67 maxAcc=11.67 Ep0 testAccE=7.50 testF1E=3.08 maxAccE=7.50 maxF1E=3.08 Ep0
Model saved in file: ./saveModel/model-0
Ep1 2s lossLab=2.2664 trainAcc=0.1266 testAcc=12.08 maxAcc=12.08 Ep1 testAccE=9.58 testF1E=3.58 maxAccE=9.58 maxF1E=3.58 Ep1
Ep2 2s lossLab=2.2060 trainAcc=0.1635 testAcc=18.75 maxAcc=18.75 Ep2 testAccE=10.42 testF1E=3.12 maxAccE=10.42 maxF1E=3.12 Ep2
Ep3 2s lossLab=2.0921 trainAcc=0.2212 testAcc=22.50 maxAcc=22.50 Ep3 testAccE=10.00 testF1E=2.42 maxAccE=10.42 maxF1E=3.12 Ep2
Ep4 2s lossLab=1.9357 trainAcc=0.2524 testAcc=25.42 maxAcc=25.42 Ep4 testAccE=10.00 testF1E=2.42 maxAccE=10.42 maxF1E=3.12 Ep2
Ep5 2s lossLab=1.8196 trainAcc=0.2812 testAcc=32.50 maxAcc=32.50 Ep5 testAccE=10.00 testF1E=2.42 maxAccE=10.42 maxF1E=3.12 Ep2
Ep6 2s lossLab=1.7621 trainAcc=0.3189 testAcc=26.25 maxAcc=32.50 Ep5 testAccE=10.00 testF1E=2.42 maxAccE=10.42 maxF1E=3.12 Ep2
Ep7 2s lossLab=1.6842 trainAcc=0.3446 testAcc=31.25 maxAcc=32.50 Ep5 testAccE=10.00 testF1E=2.42 maxAccE=10.42 maxF1E=3.12 Ep2
Ep8 2s lossLab=1.5758 trainAcc=0.3902 testAcc=37.92 maxAcc=37.92 Ep8 testAccE=10.00 testF1E=2.42 maxAccE=10.42 maxF1E=3.12 Ep2
Ep9 2s lossLab=1.5414 trainAcc=0.4030 testAcc=42.92 maxAcc=42.92 Ep9 testAccE=10.00 testF1E=2.42 maxAccE=10.42 maxF1E=3.12 Ep2
Ep10 2s lossLab=1.3934 trainAcc=0.4583 testAcc=42.08 maxAcc=42.92 Ep9 testAccE=10.00 testF1E=2.42 maxAccE=10.42 maxF1E=3.12 Ep2
Ep11 2s lossLab=1.3655 trainAcc=0.4864 testAcc=37.92 maxAcc=42.92 Ep9 testAccE=10.00 testF1E=2.47 maxAccE=10.42 maxF1E=3.12 Ep2
Ep12 2s lossLab=1.3408 trainAcc=0.4856 testAcc=44.17 maxAcc=44.17 Ep12 testAccE=10.00 testF1E=2.68 maxAccE=10.42 maxF1E=3.12 Ep2
Ep13 2s lossLab=1.2606 trainAcc=0.5200 testAcc=55.00 maxAcc=55.00 Ep13 testAccE=8.75 testF1E=2.84 maxAccE=10.42 maxF1E=3.12 Ep2
Ep14 2s lossLab=1.1618 trainAcc=0.5617 testAcc=50.00 maxAcc=55.00 Ep13 testAccE=8.75 testF1E=2.89 maxAccE=10.42 maxF1E=3.12 Ep2
