AVG 59.5%

Ep0 5s lossLab=20.4698 trainAcc=0.1162 testAcc=9.58 maxAcc=9.58 Ep0 testAccE=12.08 testF1E=5.48 maxAccE=12.08 maxF1E=5.48 Ep0
Model saved in file: ./saveModel/model-0
Ep1 2s lossLab=2.2495 trainAcc=0.1546 testAcc=13.75 maxAcc=13.75 Ep1 testAccE=11.67 testF1E=4.91 maxAccE=12.08 maxF1E=5.48 Ep0
Ep2 2s lossLab=2.1782 trainAcc=0.1843 testAcc=23.75 maxAcc=23.75 Ep2 testAccE=12.08 testF1E=5.29 maxAccE=12.08 maxF1E=5.29 Ep2
Ep3 2s lossLab=2.0692 trainAcc=0.2027 testAcc=28.75 maxAcc=28.75 Ep3 testAccE=12.50 testF1E=6.02 maxAccE=12.50 maxF1E=6.02 Ep3
Ep4 2s lossLab=2.0018 trainAcc=0.2468 testAcc=24.17 maxAcc=28.75 Ep3 testAccE=11.25 testF1E=4.58 maxAccE=12.50 maxF1E=6.02 Ep3
Ep5 2s lossLab=1.8513 trainAcc=0.2869 testAcc=19.17 maxAcc=28.75 Ep3 testAccE=10.42 testF1E=3.96 maxAccE=12.50 maxF1E=6.02 Ep3
Ep6 2s lossLab=1.6948 trainAcc=0.3373 testAcc=35.00 maxAcc=35.00 Ep6 testAccE=10.42 testF1E=4.05 maxAccE=12.50 maxF1E=6.02 Ep3
Ep7 2s lossLab=1.5244 trainAcc=0.4199 testAcc=35.42 maxAcc=35.42 Ep7 testAccE=10.42 testF1E=3.47 maxAccE=12.50 maxF1E=6.02 Ep3
Ep8 2s lossLab=1.4259 trainAcc=0.4423 testAcc=45.00 maxAcc=45.00 Ep8 testAccE=10.42 testF1E=3.45 maxAccE=12.50 maxF1E=6.02 Ep3
Ep9 2s lossLab=1.3454 trainAcc=0.4944 testAcc=42.50 maxAcc=45.00 Ep8 testAccE=10.83 testF1E=3.54 maxAccE=12.50 maxF1E=6.02 Ep3
Ep10 2s lossLab=1.2634 trainAcc=0.5176 testAcc=40.00 maxAcc=45.00 Ep8 testAccE=10.42 testF1E=2.85 maxAccE=12.50 maxF1E=6.02 Ep3
Ep11 2s lossLab=1.1568 trainAcc=0.5665 testAcc=41.67 maxAcc=45.00 Ep8 testAccE=10.42 testF1E=2.85 maxAccE=12.50 maxF1E=6.02 Ep3
Ep12 2s lossLab=1.0304 trainAcc=0.6130 testAcc=42.92 maxAcc=45.00 Ep8 testAccE=10.42 testF1E=2.85 maxAccE=12.50 maxF1E=6.02 Ep3
Ep13 2s lossLab=1.0624 trainAcc=0.6122 testAcc=44.58 maxAcc=45.00 Ep8 testAccE=10.42 testF1E=2.85 maxAccE=12.50 maxF1E=6.02 Ep3
Ep14 2s lossLab=0.9667 trainAcc=0.6458 testAcc=52.50 maxAcc=52.50 Ep14 testAccE=9.58 testF1E=2.65 maxAccE=12.50 maxF1E=6.02 Ep3
Ep15 2s lossLab=0.9007 trainAcc=0.6571 testAcc=49.58 maxAcc=52.50 Ep14 testAccE=9.17 testF1E=3.65 maxAccE=12.50 maxF1E=6.02 Ep3
Ep16 2s lossLab=0.7710 trainAcc=0.7236 testAcc=42.92 maxAcc=52.50 Ep14 testAccE=7.50 testF1E=3.77 maxAccE=12.50 maxF1E=6.02 Ep3
Ep17 2s lossLab=0.7582 trainAcc=0.7131 testAcc=56.67 maxAcc=56.67 Ep17 testAccE=4.17 testF1E=2.65 maxAccE=12.50 maxF1E=6.02 Ep3
Ep18 2s lossLab=0.7523 trainAcc=0.7412 testAcc=51.67 maxAcc=56.67 Ep17 testAccE=3.75 testF1E=2.42 maxAccE=12.50 maxF1E=6.02 Ep3
Ep19 2s lossLab=0.7013 trainAcc=0.7476 testAcc=47.50 maxAcc=56.67 Ep17 testAccE=7.92 testF1E=4.36 maxAccE=12.50 maxF1E=6.02 Ep3
Ep20 2s lossLab=0.6502 trainAcc=0.7612 testAcc=45.42 maxAcc=56.67 Ep17 testAccE=7.92 testF1E=3.76 maxAccE=12.50 maxF1E=6.02 Ep3
Ep21 2s lossLab=0.6154 trainAcc=0.7965 testAcc=48.33 maxAcc=56.67 Ep17 testAccE=7.50 testF1E=3.38 maxAccE=12.50 maxF1E=6.02 Ep3
Ep22 2s lossLab=0.4942 trainAcc=0.8213 testAcc=52.50 maxAcc=56.67 Ep17 testAccE=5.42 testF1E=2.65 maxAccE=12.50 maxF1E=6.02 Ep3
Ep23 2s lossLab=0.5487 trainAcc=0.8085 testAcc=55.42 maxAcc=56.67 Ep17 testAccE=7.50 testF1E=3.06 maxAccE=12.50 maxF1E=6.02 Ep3
Ep24 2s lossLab=0.4555 trainAcc=0.8462 testAcc=54.58 maxAcc=56.67 Ep17 testAccE=8.33 testF1E=2.70 maxAccE=12.50 maxF1E=6.02 Ep3
Ep25 2s lossLab=0.5077 trainAcc=0.8261 testAcc=57.50 maxAcc=57.50 Ep25 testAccE=10.00 testF1E=2.86 maxAccE=12.50 maxF1E=6.02 Ep3
Ep26 2s lossLab=0.4405 trainAcc=0.8542 testAcc=62.08 maxAcc=62.08 Ep26 testAccE=10.42 testF1E=2.77 maxAccE=12.50 maxF1E=6.02 Ep3
Ep27 2s lossLab=0.2893 trainAcc=0.8958 testAcc=60.00 maxAcc=62.08 Ep26 testAccE=10.42 testF1E=2.68 maxAccE=12.50 maxF1E=6.02 Ep3
Ep28 2s lossLab=0.3662 trainAcc=0.8790 testAcc=64.17 maxAcc=64.17 Ep28 testAccE=10.42 testF1E=2.66 maxAccE=12.50 maxF1E=6.02 Ep3
Ep29 2s lossLab=0.2773 trainAcc=0.9006 testAcc=57.08 maxAcc=64.17 Ep28 testAccE=10.42 testF1E=2.66 maxAccE=12.50 maxF1E=6.02 Ep3
Ep30 2s lossLab=0.5345 trainAcc=0.8173 testAcc=61.25 maxAcc=64.17 Ep28 testAccE=10.42 testF1E=2.66 maxAccE=12.50 maxF1E=6.02 Ep3
